time,open,high,low,close,EMA,Smoothing Line,,
15/09/2018,6476.63,6565.45,6466.13,6514.96,7385.442369034162,7385.442369034162,,
16/09/2018,6514.96,6524.62,6370,6505,7376.681748446757,7376.681748446757,,
17/09/2018,6500.08,6533.84,6201,6248.69,7365.45795,7365.45795,,
18/09/2018,6248.69,6390,6224.98,6336.45,7355.219064880574,7355.219064880574,,
19/09/2018,6336.39,6517.7,6123,6391.89,7345.633701050916,7345.633701050916,,
20/09/2018,6392,6540,6325,6492,7337.139833378767,7337.139833378767,,
21/09/2018,6492,6784.86,6491,6759.02,7331.387397225745,7331.387397225745,,
22/09/2018,6759.01,6839.03,6627,6723.05,7325.334288795639,7325.334288795639,,
23/09/2018,6723.05,6788.23,6661.75,6708,7319.191659056379,7319.191659056379,,
24/09/2018,6706.81,6730,6557,6581.39,7311.8503490160165,7311.8503490160165,,
25/09/2018,6581.42,6584.01,6325.02,6447.54,7303.250246040733,7303.250246040733,,
26/09/2018,6445.11,6557.99,6379.7,6465.12,7294.910641602517,7294.910641602517,,
27/09/2018,6467.84,6750,6434,6689.13,7288.882974,7288.882974,,
28/09/2018,6689.12,6814.8,6540.88,6634.58,7282.372496178344,7282.372496178344,,
29/09/2018,6634.58,6636,6464.57,6596.38,7275.5467,7275.5467,,
30/09/2018,6597.66,6662,6533,6626.57,7269.089220592525,7269.089220592525,,
01/10/2018,6626.57,6667.09,6510,6611.61,7262.547138795584,7262.547138795584,,
02/10/2018,6610,6640,6494,6525.79,7255.216221991648,7255.216221991648,,
03/10/2018,6525.79,6549,6430,6510,7247.801135205662,7247.801135205662,,
04/10/2018,6510.01,6643.46,6505.09,6593.79,7241.293561721029,7241.293561721029,,
05/10/2018,6591.69,6697,6543.08,6635.65,7235.267257624302,7235.267257624302,,
06/10/2018,6635.65,6651,6566.77,6594.27,7228.889175458886,7228.889175458886,,
07/10/2018,6596.44,6640,6525,6615.26,7222.783412518997,7222.783412518997,,
08/10/2018,6615.26,6715.6,6587,6673.01,7217.313030304877,7217.313030304877,,
09/10/2018,6673.01,6685.38,6607,6656.61,7211.733895674978,7211.733895674978,,
10/10/2018,6656.67,6659.95,6530,6631,7205.955448951844,7205.955448951844,,
11/10/2018,6630.21,6633.92,6205,6252.68,7196.470121101577,7196.470121101577,,
12/10/2018,6252.71,6360,6209,6298.01,7187.530219399074,7187.530219399074,,
13/10/2018,6298,6345,6285.07,6332.93,7179.026734628934,7179.026734628934,,
14/10/2018,6332.92,6416,6308,6339.34,7170.671642742079,7170.671642742079,,
15/10/2018,6339.34,7680,6300,6752.5,7166.510730873998,7166.510730873998,,
16/10/2018,6752.5,6900,6670,6759.27,7162.458584298137,7162.458584298137,,
17/10/2018,6762.76,6811.12,6676.01,6740.89,7158.263872016563,7158.263872016563,,
18/10/2018,6739.01,6796,6567,6618.96,7152.897664334806,7152.897664334806,,
19/10/2018,6618.96,6648.14,6523,6528.88,7146.688533,7146.688533,,
20/10/2018,6528.88,6617.65,6505.55,6588.4,7141.133423561859,7141.133423561859,,
21/10/2018,6585.72,6663.9,6580,6590.11,7135.650603426915,7135.650603426915,,
22/10/2018,6590.12,6639,6535.27,6581.2,7130.133681999781,7130.133681999781,,
23/10/2018,6581.2,6595,6515.45,6553.51,7124.396132925157,7124.396132925157,,
24/10/2018,6553.51,6630,6547.53,6565.5,7118.834977373663,7118.834977373663,,
25/10/2018,6566.81,6575.09,6502.8,6528.09,7112.956917897308,7112.956917897308,,
26/10/2018,6528.13,6600,6515.01,6538.63,7107.242222196837,7107.242222196837,,
27/10/2018,6538.63,6558.35,6463.04,6505.6,7101.255732423734,7101.255732423734,,
28/10/2018,6505.6,6514.17,6453,6489.93,7095.172889,7095.172889,,
29/10/2018,6489.93,6505.01,6315,6344.5,7087.703507331806,7087.703507331806,,
30/10/2018,6344.5,6395,6317.01,6330.87,7080.172825666813,7080.172825666813,,
31/10/2018,6330.01,6428,6245.02,6371.93,7073.125633371621,7073.125633371621,,
01/11/2018,6369.52,6442.65,6348.66,6410,7066.527368362948,7066.527368362948,,
02/11/2018,6410,6460.34,6388.2,6433.98,7060.233364697646,7060.233364697646,,
03/11/2018,6432.8,6439.97,6345,6387.09,7053.535420770306,7053.535420770306,,
04/11/2018,6388,6525,6359,6485.85,7047.886809618362,7047.886809618362,,
05/11/2018,6485.85,6504.39,6431.02,6468.99,7042.126642358478,7042.126642358478,,
06/11/2018,6468.99,6531.31,6445.18,6519.11,7036.922496663369,7036.922496663369,,
07/11/2018,6522.73,6615.15,6509,6578.46,7032.360680776172,7032.360680776172,,
08/11/2018,6578.46,6594,6468.22,6479.84,7026.862962559493,7026.862962559493,,
09/11/2018,6479.84,6511.53,6391.01,6419.99,7020.824425618603,7020.824425618603,,
10/11/2018,6419.99,6475.55,6411,6433.05,7014.975923871154,7014.975923871154,,
11/11/2018,6435.16,6462.14,6355,6449.81,7009.352382340097,7009.352382340097,,
12/11/2018,6450.71,6497,6421,6453.07,7003.8172342571115,7003.8172342571115,,
13/11/2018,6451.68,6498,6391.15,6457.66,6998.382833916245,6998.382833916245,,
14/11/2018,6458.98,6482.84,5656.87,5922.41,6987.676636563844,6987.676636563844,,
15/11/2018,5917.2,5939.54,5403.42,5753.4,6975.395276996044,6975.395276996044,,
16/11/2018,5757.09,5782.89,5549.25,5655.94,6962.2663687672275,6962.2663687672275,,
17/11/2018,5650.57,5656.6,5565.43,5628.29,6948.992972063076,6948.992972063076,,
18/11/2018,5630.49,5738.17,5617,5662,6936.187071843543,6936.187071843543,,
19/11/2018,5661.94,5664,4855,4910.03,6916.026304959528,6916.026304959528,,
20/11/2018,4913.4,5048.24,4326,4558.86,6892.571913865403,6892.571913865403,,
21/11/2018,4559.91,4787.2,4413.85,4661.07,6870.367914722464,6870.367914722464,,
22/11/2018,4661.08,4721.77,4335,4370,6845.488631988907,6845.488631988907,,
23/11/2018,4370.9,4484,4222.94,4420.61,6821.360486396978,6821.360486396978,,
24/11/2018,4415.63,4527,3824.69,3932.44,6792.615008920391,6792.615008920391,,
25/11/2018,3933.68,4233,3652.66,4085.78,6765.681327239591,6765.681327239591,,
26/11/2018,4088.69,4206,3701,3862.2,6736.790966,6736.790966,,
27/11/2018,3864.45,3940,3689.12,3875.21,6708.317523329003,6708.317523329003,,
28/11/2018,3875.63,4394.47,3874.27,4264.85,6684.0044136441375,6684.0044136441375,,
29/11/2018,4262.06,4450.38,4125.65,4295.84,6660.241583657628,6660.241583657628,,
30/11/2018,4295.72,4341.36,3943,4041.32,6634.182662427204,6634.182662427204,,
01/12/2018,4041.27,4299.99,3963.01,4190.02,6609.862635935391,6609.862635935391,,
02/12/2018,4190.98,4312.99,4103.04,4161.01,6585.4959430405115,6585.4959430405115,,
03/12/2018,4160.55,4179,3827,3884.01,6558.615486,6558.615486,,
04/12/2018,3884.76,4085,3781,3951.64,6532.675431309802,6532.675431309802,,
05/12/2018,3950.98,3970,3745,3769.84,6505.184531495774,6505.184531495774,,
06/12/2018,3768.44,3899.99,3500,3508.75,6475.369262525666,6475.369262525666,,
07/12/2018,3508.75,3549.99,3224.6,3403.55,6444.8038967293905,6444.8038967293905,,
08/12/2018,3403.57,3495,3222,3410.93,6414.6160967619335,6414.6160967619335,,
09/12/2018,3411.36,3658,3394.04,3545.37,6386.0663843563425,6386.0663843563425,,
10/12/2018,3548.49,3610,3370.11,3432.88,6356.681445208518,6356.681445208518,,
11/12/2018,3434.01,3480,3324.32,3380.39,6327.066604957688,6327.066604957688,,
12/12/2018,3379.23,3492,3350,3445,6298.389325306367,6298.389325306367,,
13/12/2018,3446.38,3460,3255.5,3302.06,6268.575103164015,6268.575103164015,,
14/12/2018,3302.06,3335.39,3177,3224.17,6238.282515,6238.282515,,
15/12/2018,3225.19,3276.5,3156.26,3211.72,6208.1674651716085,6208.1674651716085,,
16/12/2018,3211.71,3294,3186,3228.67,6178.520724224627,6178.520724224627,,
